Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,1st_time_open,1st_time_close,2nd_time_open,2nd_time_close,week
Hotel Gurudev,South Indian,4.1,172.0,,,Mandvi,"Raopura, Dandia Bazaar, Mandvi, Vadodara",200,2020-10-15 08:00:00,2020-10-15 22:00:00,,,"Mon,Tue,Wed,Fri,Sat,Sun),Closed..."
Jay Hind Restaurant,Fast Food,3.3,46.0,4.2,2465.0,Mandvi,"Opposite Kumar Shala 1, Raopura, Mandvi, Vadodara",100,2020-10-15 10:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Chacha Bombay Wala,Street Food,3.8,101.0,3.9,1883.0,Nizampura,"Bharati Nagar, Kanchan Studio Near Chhani Jakatnaka, Nizampura, Vadodara",400,2020-10-15 19:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Rutu  Ice Cream,"Desserts, Ice Cream",3.8,67.0,3.7,2047.0,Diwalipura,"G/1, MSA House, Near Manisha Society, Manisha Chokdi, Diwalipura, Vadodara",200,2020-10-15 10:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Bombay Seekh Paratha,North Indian,3.9,94.0,4.1,1635.0,Diwalipura,"KGN Shopping Centre, Tandalja Vasna Road, Opposite SBI Bank, Tandalja, Near Diwalipura, Vadodara",200,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Khichdi Etc,"Healthy Food, Gujarati",3.7,80.0,4.3,2199.0,Vadiwadi,"Shop 4, GF, Trivia Complex, Natubhai Circle, Vadiwadi, Vadodara",600,2020-10-15 11:00:00,2020-10-15 16:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
The Sandwich & Fast Food,"Sandwich, Fast Food",3.9,88.0,4.2,3289.0,Sayajigunj,"3, Prestige Complex, Opposite Suraj Plaza, Sayajigunj, Vadodara",100,2020-10-15 11:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Freshco's - The Health Cafe,"Cafe, Healthy Food, Coffee",3.8,121.0,4.3,3194.0,Vadiwadi,"Next to Subway, Near Citi Bank, Race Course Road, Vadiwadi, Vadodara",600,2020-10-15 07:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Al Karimi Chicken Sawarma,Fast Food,3.8,100.0,4.3,1006.0,Akota,"Shop no 6 ,Saptgiri Apartment Opp Taj Hotel, Akota Village, Akota, Vadodara",150,2020-10-15 16:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Thakor Omlet Restaurant,Fast Food,3.7,76.0,4.1,1816.0,Karelibaug,"Karelibaug Water Tank, Opposite Gunjan Sev Usal, Karelibaug, Vadodara",150,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
