Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,1st_time_open,1st_time_close,2nd_time_open,2nd_time_close,week
Jay Jalaram Sev Usal,Street Food,3.8,103.0,4.3,4710.0,Kendranagar,"Near Police Chowki, Parivar Char Rasta, Waghodia Road, Kendranagar, Vadodara",100,2020-10-15 10:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Coffee Yard,Cafe,3.4,70.0,3.3,199.0,Akota,"Akota, Vadodara",400,2020-10-15 09:00:00,2020-10-15 20:30:00,,,Mon-Sun)
Raj Chinese,Chinese,3.8,92.0,4.2,1874.0,Sayajipura,"Shop 5, Abid Apartment, Near Gulistan Apartment, Ajwa Road, Sayajipura, Vadodara",150,2020-10-15 08:00:00,2020-10-15 14:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Balle Balle Mini Punjab,North Indian,3.8,91.0,4.4,402.0,Mandvi,"Citi Plaza, Opposite Madhyavarti School, Dandiya Bazar, Mandvi, Vadodara",500,2020-10-15 11:00:00,2020-10-15 22:00:00,,,Mon-Sun)
A1 Tandoori Restaurant,"North Indian, Chinese",2.9,66.0,3.8,782.0,Sama,"37, Ground Floor, Siddharth Annexe, Savali Road, Sama, Vadodara",400,2020-10-15 11:00:00,2020-10-15 14:00:00,2020-10-15 18:30:00,2020-10-15 23:00:00,Mon-Sun)
Jai Mahakali Sev Usal,Fast Food,,,4.1,2194.0,Nizampura,"Devdeep Complex, Nizampura, Vadodara",150,2020-10-15 07:30:00,2020-10-15 22:00:00,,,Mon-Sun)
Sankalp,South Indian,2.7,86.0,4.1,635.0,Fatehgunj,"Plaza Complex, Opposite Saffron Building, Fatehgunj, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Ambassador Sweet Mart,Mithai,4.1,155.0,,,Sayajigunj,"Near Railway Station, Below Hotel Ambassador, Sayajiganj, Vadodara",100,2020-10-15 09:00:00,2020-10-15 22:00:00,,,Mon-Sun)
MN Paratha Plaza,North Indian,3.8,101.0,4.2,5210.0,Diwalipura,"3, Signet Hub, Akshar Chowk, Old Padra Road, Vadodara, Diwalipura, Vadodara",300,2020-10-15 08:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Chilli Garlic Family Restaurant,"Chinese, North Indian",,,4.1,685.0,Fatehgunj,"Eagle Apartment, Abbas Tyabji Road, Jayesh Colony, Fatehgunj, Vadodara",350,2020-10-15 11:00:00,2020-10-15 16:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Ice Cream Factory & Shahi Darbar,"Desserts, Ice Cream, Beverages",3.6,91.0,3.9,85.0,Gotri,"SB 1-4, Arundeep Complex, Race Course Circle, Gotri, Vadodara",300,2020-10-15 11:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Bombay Pav Bhaji,Street Food,3.9,102.0,3.5,1052.0,Karelibaug,"6, Radhe Complex, Sangam Char Rasta, Karelibaug, Vadodara",200,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Dangee Dums,"Bakery, Desserts",3.8,100.0,,,Karelibaug,"GF 1/2, Shrushti Avenue, Opposite Amrapali Complex, Pani Tank Road, Karelibaug, Vadodara",350,2020-10-15 10:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Foods N Moods Dosa House,Street Food,3.2,49.0,4.0,1546.0,Manjalpur,"Shop 4, Amar Krupa Flat, Near Sports Complex Darabar, Chokadi, Manjalpur, Vadodara",200,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Sista's Kitchen,Maharashtrian,3.7,56.0,3.6,1766.0,Mandvi,"Ganesh Khaman's Lane, Opposite Lalabhai Sev Usal, Chokhandi, Pratapnagar, Mandvi, Vadodara",300,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Wraps N Fries,"Cafe, Fast Food, Mexican",3.7,60.0,4.2,1674.0,Vadiwadi,"Shop 1, Akash Ganga Complex, Near Vanijya Bhavan Complex, Race Course, Vadiwadi, Vadodara",450,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Egg Village,"Fast Food, North Indian",,,3.6,901.0,Alkapuri,"101 , above samrat store behind bheemnath temple under jetalpur bridge.  Sayajigunj  vadodara",200,2020-10-15 11:00:00,2020-10-15 04:00:00,,,Mon-Sun)
Hotel Yuvraj,North Indian,3.8,63.0,3.9,928.0,Sayajigunj,"Near Central Bus Depot, Station Road",600,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Papa Cakes,"Bakery, Fast Food",3.5,17.0,4.4,90.0,Sayajipura,"Shop 2, Shree Siddheshwar Hub, Near Vainkunth 2, Khodiyar Nagar, Sayajipura, Vadodara",200,2020-10-15 10:00:00,2020-10-15 00:00:00,,,"Mon-Sat),12noon–12midnight..."
Alpha Quality Meals,"North Indian, Fast Food",,,4.0,786.0,Yakutpura,"46, Nathalal Shopping Center, Near Shriji Hospital, Ayurvedic 3 Rasta, Outside Panigate, Yakutpura, Vadodara",300,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Das Pendawala,Mithai,,,4.1,1191.0,Subhanpura,"Gf-3, Spandan house, Ellora Park, Subhanpura, Vadodara",400,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Raja Punjabi Restaurant,North Indian,3.8,75.0,4.4,1204.0,Karelibaug,"6B, H Complex Basement, Near Utkarsh Petrol Pump, Karelibaug, Vadodara",500,2020-10-15 11:00:00,2020-10-15 19:00:00,,,Mon-Sun)
Oven & Grill,"Burger, Pizza, Sandwich, Fast Food",,,3.4,273.0,Akota,Delivery Only,600,2020-10-15 10:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Neopolitan Pizza,"Pizza, Fast Food, Chinese",2.6,67.0,3.8,1197.0,Fatehgunj,"3rd Floor, Seven Seas Mall, Fatehgunj, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
The Royal Food,"North Indian, Fast Food, Chinese",3.6,63.0,3.7,1169.0,Karelibaug,"Shop 35, Opposite SSD Mandir, Near Old RTO Office Circle, Warasiya Main Road, Warasiya, Vadodara",300,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Farm House Europe,"Pizza, Fast Food",,,3.7,554.0,Fatehgunj,"SB-37, Blue Diamond Complex, Fatehgunj, Vadodara",200,2020-10-15 09:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Hotel KGN,North Indian,3.4,58.0,3.5,2725.0,Diwalipura,"C/5, Ayesha Park, Tandalja Road, Diwalipura, Vadodara",500,2020-10-15 11:30:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Horizon Rooftop Restaurant,"North Indian, Fast Food, Chinese",3.4,69.0,,,Sayajigunj,"Near Bhimnath Bridge, Opposite Parsi Agryari, Sayajigunj, Vadodara",1500,2020-10-15 19:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Shree Rasanand,"Desserts, Fast Food",2.9,39.0,4.3,880.0,Alkapuri,"3, Sheetal Apartment, R.C. Dutt Road, Alkapuri, Vadodara",300,2020-10-15 08:30:00,2020-10-15 22:30:00,,,Mon-Sun)
Firangi Frankie,Fast Food,3.7,101.0,4.3,1324.0,Gotri,"GF 20, Kishan Complex, Beside Apollo Pharmacy, Main Road, Gotri, Vadodara",100,2020-10-15 11:00:00,2020-10-15 22:30:00,,,Mon-Sun)
Avvento Sandwich Parlour,Fast Food,3.7,60.0,4.2,2686.0,Karelibaug,"Desi Haat Food Court, Near Shiv Vatika, Warasiya Ring Road, Karelibaug, Vadodara",300,2020-10-15 10:00:00,2020-10-15 22:30:00,,,Mon-Sun)
Pangaea Resto,"North Indian, Italian, Lebanese, Mexican",3.2,36.0,3.9,93.0,Gotri,"Shop 16, 17 Gangotri Icon, Opposite Gokul Party Plot, Near Nilamber Circle, Gotri, Vadodara",500,2020-10-15 11:30:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 23:00:00,Mon-Sun)
Shree Mahakali Sev Usal,Fast Food,3.6,74.0,3.8,2520.0,Gotri,"SB 2, Ankur Avenue, Near Kishan Complex, Yash Complex Cross Road, Gotri Road, Vadodara",150,2020-10-15 08:00:00,2020-10-15 16:00:00,,,Mon-Sun)
Puff Corner,Cafe,2.8,42.0,4.1,922.0,Manjalpur,"G-40, Sarswati Complex, Manjalpur, Vadodara",300,2020-10-15 10:30:00,2020-10-15 22:00:00,,,Mon-Sun)
51 Rainbow Ice Creams,"Ice Cream, Desserts, Beverages",3.7,63.0,3.2,508.0,Fatehgunj,"Fatehgunj Bridge, Vadodara",300,2020-10-15 12:15:00,2020-10-15 23:45:00,,,Mon-Sun)
Mirchi Spice,"Rajasthani, Chinese, Fast Food, Gujarati, North Indian",2.7,65.0,3.6,1981.0,Kendranagar,95/B Aman society near ajwa road navijivan bus stop near urban health centre vadodara,500,2020-10-15 00:00:00,2020-10-15 01:00:00,2020-10-15 11:00:00,2020-10-15 00:00:00,Mon-Sun)
Tummy Fillers,"Pizza, Burger, Sandwich, Fast Food",3.7,54.0,3.5,1287.0,Diwalipura,"SF 11, Samanvay Status 2, Near Banco Product, Atladara Padra Road, Diwalipura, Vadodara",300,2020-10-15 10:30:00,2020-10-15 23:30:00,,,Mon-Sun)
Kreative Foods,"Roast Chicken, Rolls, Kebab",,,4.0,976.0,Sayajipura,"26, Amber Complex, Ajwa Road, Sayajipura, Vadodara",300,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Vijay Panjabi Khana,"North Indian, Fast Food, South Indian",3.3,91.0,3.8,3058.0,Makarpura,"Wings Complex, Near Hanuman Tample, Makarpura Main Road, Makarpura, Vadodara",300,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
The Barbeque Pizza,Pizza,,,3.6,194.0,Alkapuri,"101 , above samrat store behind bheemnath temple under jetalpur bridge.  Sayajigunj  vadodara",400,2020-10-15 11:00:00,2020-10-15 21:15:00,,,Mon-Sun)
The Square Meal- Ginger Hotel RCR,North Indian,3.7,59.0,4.0,174.0,Vadiwadi,"Ginger Hotel, Near Natubhai Circle, Race Course Road, Vadiwadi, Vadodara",600,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Al-Arabi Chicken Shawarma,Mughlai,3.8,122.0,,,Mandvi,"Near Sardamandir School, Machhipith, Mandvi, Vadodara",150,2020-10-15 17:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Crazy About China,Chinese,2.9,55.0,3.4,1050.0,Fatehgunj,"3rd Floor, Seven Seas Mall, Fatehgunj, Vadodara",400,2020-10-15 11:30:00,2020-10-15 22:30:00,,,Mon-Sun)
Punjabi Paratha House,North Indian,3.5,63.0,4.3,1963.0,Nizampura,"A102, Shreenathji Height, Near GPS School, Beside GSFC Bridge, Chhani, Nizampura, Vadodara",250,2020-10-15 09:30:00,2020-10-15 23:00:00,,,Mon-Sun)
Krishna Restaurant,North Indian,3.2,48.0,4.0,2536.0,Gotri,"High Tension Road, Near Amin Party Plot, Subhanpura, Gotri, Vadodara",200,2020-10-15 09:30:00,2020-10-15 22:45:00,,,Mon-Sun)
Jumpstreet Cafe,"Italian, Mexican, Chinese",3.8,68.0,3.9,316.0,Akota,"1-2, Rajvi Complex, Opposite Akota Garden, Akota, Vadodara",500,2020-10-15 07:30:00,2020-10-15 23:00:00,,,Mon-Sun)
Nirmal Chhole Kulche,Street Food,3.9,88.0,4.1,509.0,Diwalipura,"24A, Makrand Desai Road, Kalyan Nagar, Diwalipura, Vadodara",150,2020-10-15 18:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Sudama Kathiyawadi Restaurant,Gujarati,4.0,113.0,,,Nizampura,"FF-29, Delux Society, Near Ratnakar Dresses, Nizampura, Vadodara",200,2020-10-15 11:30:00,2020-10-15 14:30:00,2020-10-15 19:30:00,2020-10-15 22:30:00,Mon-Sun)
Gokulesh Ice Cream Parlour,"Ice Cream, Fast Food, Pizza",3.6,64.0,4.3,2633.0,Kendranagar,"Shop 7, Sukhdham Residency, Waghodiya Dabhoi Ring Road, Opposite Tirth Tenament, Kendranagar, Vadodara",200,2020-10-15 08:00:00,2020-10-15 03:00:00,,,Mon-Sun)
Kolkata Street Kitchen,"Bengali, North Indian, Fast Food, Biryani",3.8,50.0,4.0,1375.0,Fatehgunj,"104 Anand House, Phase 4, Mandir marg. Near EME Circle. Fatehgunj 390002",250,2020-10-15 08:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Ashirwad Restaurant,North Indian,3.8,113.0,,,Nizampura,"1st Floor, Sakar Complex, Near Super Bakery, Sardar Estate, New VIP Road",500,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 22:30:00,Mon-Sun)
Bharkadevi Ice Cream,"Desserts, Beverages",3.8,81.0,4.1,2767.0,Kendranagar,"Ground Floor 15, Shreeji Villa, Besides D Mart, Waghodia Road, Kendranagar, Vadodara",200,2020-10-15 08:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Brew13,"Cafe, Fast Food, Beverages",3.8,67.0,,,Akota,"6-A, Rajpath Society, Old Padra Road, Akota, Vadodara",500,2020-10-15 09:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Talk Of The Town,"Mughlai, North Indian, Biryani",,,4.3,568.0,Manjalpur,"C 31, Viral Park Society, GIDC, Vadsar Road, Manjalpur, Vadodara",300,2020-10-15 17:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Back to Kerala,South Indian,3.7,103.0,4.1,140.0,Gotri,"12, 13 & 14, 1st Floor, Darshanam Arise, Near Gotri Watertank, Gotri, Vadodara",350,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:30:00,Mon-Sun)
Golgappa Street,Street Food,2.9,73.0,3.9,855.0,Manjalpur,"GF - 7, Aangan Tower, Near Bhavans School, Teen Rasta, Makarpura Road, Manjalpur, Vadodara",400,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Govinda's,Gujarati,3.9,112.0,,,Gotri,"Iscon, Hare Krishna Land, Gotri Road",600,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
Ellora Milk Centre,Beverages,,,4.1,573.0,Subhanpura,"1, Ellora Park Shopping Centre, Ellora Park, Subhanpura road, Subhanpura, Vadodara",200,2020-10-15 09:00:00,2020-10-15 20:15:00,,,Mon-Sun)
Cafe Appetito,"Cafe, Fast Food, Beverages",3.4,66.0,4.3,868.0,Akota,"Zex House, Opposite Galleria Mall, Shankheshwar Parshwanath Marg, Akota, Vadodara",400,2020-10-15 11:00:00,2020-10-15 02:30:00,,,Mon-Sun)
Nylon Pav Bhaji,Fast Food,3.7,66.0,4.1,1815.0,Manjalpur,"Dorado Complex, G3, Kubereshwar Mahadev Marg, Shree Palli society, Manjalpur, Vadodara",250,2020-10-15 17:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Dal Roti Food Service,"Gujarati, Maharashtrian",3.8,60.0,3.6,868.0,Karelibaug,"Khubharwada-1, Salatwada, Karelibaug, Vadodara",200,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Champaklal Pavbhaji,Street Food,3.6,60.0,4.1,1203.0,Subhanpura,"C 81, Nutan Maheshwari Nagar Society, Near Bharucha Hospital, Subhanpura, Vadodara",200,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 17:00:00,2020-10-15 23:00:00,Mon-Sun)
