Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,Open_time
Momoman,"Tibetan, Thai, Momos, Chinese",3.9,(346),4.0,"(7,826)",Fatehgunj,"Shop 3, Royal Hub Complex, Near 7 Seas Mall, Fatehgunj, Vadodara",₹600,11am – 2am (Mon-Sun)
Infi Pizzeria,Pizza,4.6,(662 Reviews),,,Gotri,"GF-9, Lotus Elite, Gotri-Sevasi Road, Gotri, Vadodara",₹400,"Closed (Mon),12noon – 11pm (Tue-Sun)"
Keshav Restaurant,"North Indian, Gujarati",4.4,(455),4.2,(21.6K),Kendranagar,"Shantinagar Society, Beside Jasmine Mobile, Vrundavan Char Rasta, Waghodia Dabhoi Ring Road, Kendranagar, Vadodara",₹500,"11am – 3:30pm, 6pm – 10:30pm (Mon, Tue, Wed..."
Pepperazzi -The Diner,"North Indian, Italian, Mexican, Thai, Chinese",4.2,(412),3.5,"(1,767)",Diwalipura,"207 Maryland Complex, Near Kapil Tower, OP Road, Diwalipura, Vadodara",₹900,12noon – 11pm (Mon-Sun)
Bhagyodaya Restaurant,"North Indian, Biryani, Chinese, Beverages",4.3,(425),4.2,(19.4K),Fatehgunj,"Campus Corner, Narhari Hospital Circle, Fatehgunj, Vadodara",₹500,"11am – 3pm, 7pm – 11pm (Mon-Sun)"
Vishal Sandwich,Fast Food,4.5,(544),4.4,"(7,133)",Alkapuri,"E11, Kashivishweshwar Township, Jetalpur Road, Vadodara",₹200,"10am – 8:30pm (Mon-Sat),Closed (Sun)"
Snappy Pizza,"Pizza, Fast Food",4.5,(417),4.0,(12.4K),Akota,"Shop G01, India Bulls Mega Mall, Old Ambica Mill Compound, Near Dinesh Mill, Akota Road, Vadodara, Akota, Vadodara",₹300,9am – 10:30pm (Mon-Sun)
The Cafe Baraco,"Cafe, Mexican, Italian, Continental, Chinese",4.0,(520),3.1,(741),Alkapuri,"6, The Emerald, Race Course, Near Chakli Circle, Alkapuri, Vadodara",₹500,11am – 12:30am (Mon-Sun)
Mr Toasties,"Cafe, Italian, Fast Food, Beverages, Desserts",3.9,(394),3.8,(11.9K),Vadiwadi,"2/8, MIG Flats, Opposite Indraprastha Complex, Near LG Showroom, Inox Road, Ellora Park, Vadiwadi, Vadodara",₹800,12noon – 12midnight (Mon-Sun)
Tomato's,"North Indian, Mughlai, Mexican, Thai",4.3,(640),4.2,(709),Alkapuri,"1st Floor, Aditi Plaza, Race Course Road, Beside IDBI Bank, Alkapuri, Vadodara","₹1,200","12:30pm – 3pm, 7pm – 11pm (Mon-Sun)"
Coffee Culture,"Cafe, Coffee, Continental, Italian",3.9,(613),3.5,"(1,179)",Vadiwadi,"1-8, Opposite INOX Multiplex, Sharnam Fortune, Ellorapark, Vadiwadi, Vadodara",₹600,11am – 12midnight (Mon-Sun)
Tea Villa Café,"Fast Food, Tea, Cafe, Italian",4.4,(653),4.1,"(1,059)",Subhanpura,"Atlantis Heights, Near Genda Circle, Subhanpura, Vadodara","₹1,000",9am – 2am (Mon-Sun)
Cafe Madrid,Cafe,4.2,(461 Reviews),,,Diwalipura,"Club Madrid, Madrid County, Bhayli Vasna Road, Near Swaminarayan Temple, Bhayli Road, Diwalipura, Vadodara",₹600,1pm – 11pm (Mon-Sun)
The Dhaba,North Indian,4.7,(555),3.7,"(3,904)",Alkapuri,"1, Savoy Complex 63, Ground Floor, Haribhakti Extension, Old Padra Road, Alkapuri, Vadodara",₹500,"12noon – 3pm, 7pm – 11pm (Mon-Sun)"
Barbeque Nation,"Mughlai, North Indian",4.7,(449),3.9,(41),Vadiwadi,"3rd Floor, Cine Mall, Near Natubhai Circle, Race Course Road, Vadiwadi, Vadodara, Gujarat","₹1,500","12noon – 3pm, 7pm – 11pm (Mon-Sun)"
La Benito,"Italian, Mexican, Continental, Lebanese, Beverages",4.4,(382),4.2,(923),Vadiwadi,"1st Floor, Shantanam, Opposite Yes Bank, Inox Road, Race course","₹1,000","11am – 3pm, 6:30pm – 10:30pm (Mon-Sun)"
Nukkad Pe,"Cafe, Fast Food",4.2,(381),4.1,"(2,117)",Akota,Nukkadpe  Opp akota dmart Akota road  Vadodara,₹300,9:30am – 12midnight (Mon-Sun)
Spice Cottage,"North Indian, Chinese, Street Food",,,4.1,(14.2K Reviews),Gorwa,"Khodabhai Patel Farm, Near Fatima Park, Gorwa, Vadodara",₹400,6:30pm – 12midnight (Mon-Sun)
The Belgian Waffle Co.,"Desserts, Ice Cream, Fast Food",4.4,(484),4.3,"(5,698)",Vadiwadi,"31, Race Course Road, Arundeep Complex, Haribhakti Extension, Abhishek Colony, Vadiwadi, Vadodara",₹300,11am – 9pm (Mon-Sun)
Biryaniz,"Biryani, North Indian, Chinese, Rolls, Beverages",4.0,(345),3.6,(14.7K),Vadiwadi,"Shop 7, Ground Floor, Indraprastha Complex, Opposite Vegetable Market, Inox Road, Ellora Park, Vadiwadi, Vadodara",₹600,10:30am – 10:30pm (Mon-Sun)
Havmor Restaurant,"North Indian, Chinese, Fast Food",4.4,(504),4.1,"(2,628)",Sayajigunj,"Yash Kamal Building, Sayajigunj, Vadodara","₹1,200",12noon – 11pm (Mon-Sun)
Dawat Pure Veg Restaurant,"North Indian, Chinese, South Indian",4.0,(415),4.1,"(6,456)",Manjalpur,"Opposite Shreyesh Vidhyalay, Manjalpur, Vadodara",₹600,"11am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)"
Italian Affair,Italian,4.5,(410),3.5,(648),Alkapuri,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara","₹1,000","12noon – 3pm, 7pm – 11pm (Mon-Sun)"
Behrouz Biryani,"Biryani, North Indian, Mughlai",,,4.1,"(5,875 Reviews)",Subhanpura,Delivery Only,₹700,10am – 1am (Mon-Sun)
Stuff's Food,North Indian,4.4,(416),4.2,"(4,052)",Karelibaug,"Bricklane Mall, Opposite Ratri Bazaar, Karelibaug, Vadodara",₹400,"11:30am – 3:30pm, 7pm – 11pm (Mon-Sun)"
Mirch Masala,North Indian,4.3,(447),4.1,"(4,147)",Alkapuri,"Meghdhanush Complex, Gotri Road, Near Race Course Circle, Alkapuri, Vadodara",₹800,"12noon – 3pm, 7pm – 10:45pm (Mon-Sun)"
Mainland China,"Chinese, Asian, Sushi, Momos, Japanese, Thai",4.2,(371),4.1,"(1,070)",Alkapuri,"Second Floor, Bell-E-Vista Complex, Chakli Circle, Race Course, Opposite GST Bhavan, Above RADO Showroom, Alkapuri, Vadodara","₹1,400","12noon – 3:30pm, 7pm – 10pm (Mon-Sun)"
Pirates of Paneer,"North Indian, Chinese",,,3.5,"(5,392 Reviews)",Vadiwadi,Delivery Only,₹600,6pm – 3am (Mon-Sun)
Offside Lounge,"North Indian, Chinese, Continental, Pizza",4.2,(449),3.6,"(1,191)",Vadiwadi,"1st Floor, Kanchanganga Apartments, Near Bird Circle, Race Course Road, Vadiwadi, Vadodara",₹800,"12noon – 3pm, 6pm – 11pm (Mon-Sun)"
Baroda Sandwich,"Sandwich, Pizza, Fast Food",3.8,(362),4.2,(17.1K),Karelibaug,"Near Bright Day School, Vir Nagar Society, VIP Road, Karelibaug, Vadodara",₹350,11am – 12midnight (Mon-Sun)
Hariyali Gujrati Thali & Banquet,Gujarati,4.1,(358),4.2,(13K),Kendranagar,"Vrundavan Heights, Near Parivar Char Rasta, Waghodia, Kendranagar, Vadodara",₹500,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)"
The Spot,Fast Food,4.3,(468),4.4,"(6,463)",Mandvi,"1, Bhandra Kacheri Road, Syedwada, Chhipwad, Mandvi, Vadodara",₹250,"11am – 11pm (Mon, Tue, Wed, Thu, Sat, Sun), 2:30pm..."
Mummys Pizza,"Italian, Pizza, Fast Food",4.2,(575),3.4,"(2,441)",Sayajigunj,"101, Above Samarat Super Store, Opposite Orbit Hotel, Under Jetalpur Bridge, Sayajigunj, Vadodara",₹500,8am – 12:30am (Mon-Sun)
Sainath Fast Food,Fast Food,4.3,(337),4.2,"(5,192)",Sayajigunj,"4/5, Dhanvantri Complex, Opposite Sardar Patel Statue, Dairy Den Circle, Sayajigunj, Vadodara",₹150,10am – 11:30pm (Mon-Sun)
Kali Mirch Cafe And Restaurant,"North Indian, Seafood, Lucknowi",4.4,(402),4.1,"(6,721)",Fatehgunj,"Manu Smriti Complex, Near Navrachna School, GIPCL Circle, Karelibaug, Fatehgunj, Vadodara",₹600,"10:30am – 3pm, 6pm – 11pm (Mon-Sun)"
New Freeze Land,"Wraps, Sandwich, Fast Food, Street Food, Finger Food, Pizza, Beverages",4.2,(291),4.0,"(6,935)",Diwalipura,"GF 2, Sampat Square, Opposite R.K.Plaza, New Court Road, Diwalipura, Vadodara",₹600,11am – 11pm (Mon-Sun)
Alif Peri Peri Chicken,North Indian,4.1,(318),4.0,"(5,726)",Diwalipura,"Shop S1, Royal Green, Near Basil School, Tandalja Road, Diwalipura, Vadodara",₹400,11am – 1am (Mon-Sun)
The Blue Oven,"Pizza, Italian",4.3,(266),3.9,"(1,468)",Vadiwadi,"Near Natubhai Circle, Race Course Road, Vadiwadi, Vadodara",₹600,11am – 11pm (Mon-Sun)
Gayatri Bhavan,"North Indian, Gujarati",3.8,(162),3.3,(10.7K),Alkapuri,"Depo Road, Central Lodge, Opposite Railway Station, Alkapuri, Vadodara",₹300,9am – 12midnight (Mon-Sun)
Bhai Bhai Dabeliwala (Panigate Wala),"Gujarati, Fast Food",,,4.3,(10.9K Reviews),Mandvi,"B-10, Sahajanand Apartment, Ayurvedic 3 Rasta, Outside Panigate, Mandvi, Vadodara",₹150,9:30am – 6pm (Mon-Sun)
AB's - Absolute Barbecue,"European, Mediterranean, North Indian",4.5,(619 Reviews),,,Vadiwadi,"3rd Floor, Monalisa Centrum, Race Course Rd, Hari Nagar, Vadiwadi, Vadodara","₹1,200","11:30am – 3:30pm, 6pm – 10pm (Mon-Sun)"
Status Restaurant & Banquet,"Chinese, North Indian, Italian, Mexican",4.1,(282),3.7,"(5,825)",Diwalipura,"10, Ground Floor, Urban One Complex, Near Panchmukhi Hanumaanji Temple, Vasna-Bhayli, Diwalipura, Vadodara",₹500,"12noon – 3pm, 5pm – 10:30pm (Mon-Sun)"
Le Privé,"North Indian, Chinese, Italian, Bakery",4.7,(295),4.4,"(1,056)",Alkapuri,"17/B, 1st Floor, Nutan Bharat Society, Opposite Relience Fresh, Alkapuri, Vadodara","₹1,100","12noon – 3pm, 7pm – 11pm (Mon-Sun)"
Cafe Appetito,Fast Food,4.1,(220),4.1,"(4,933)",Diwalipura,"Gajanad Complex, Old Padra Road, Diwalipura, Vadodara",₹400,11am – 11pm (Mon-Sun)
Faasos,"Fast Food, North Indian, Biryani, Rolls, Wraps",,,3.9,"(8,144 Reviews)",Vadiwadi,"Shop 1 - 2, Patriot Complex, Inox Road, Vadiwadi, Vadodara",₹300,8am – 1am (Mon-Sun)
Wat A Burger - India Ka Burger,"Burger, Fast Food, Beverages, Sandwich, Wraps",4.1,(279),4.1,"(6,960)",Diwalipura,"Shop 1 Ground Floor, Sampat Square, 17 Sampat Park, Near Utkarsh School, Opposite RK Plaza, Sainath Marg, Diwalipura, Vadodara",₹400,11am – 10pm (Mon-Sun)
Zesty Treat,"North Indian, Chinese",4.0,(405),4.3,"(6,172)",Subhanpura,"1st Floor, S Square, Ellora Park, Subhanpura Main Road, Vadodara, Subhanpura, Vadodara",₹600,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)"
Jay Ambe Smoothies & Shakes,"Beverages, Fast Food",4.4,(469),4.1,"(5,341)",Akota,"Opposite Hotel Gateway, Akota, Vadodara",₹300,8am – 9pm (Mon-Sun)
La Belleza - The Cake Mall,Bakery,3.9,(280),4.1,"(6,535)",Fatehgunj,"Ground Floor, Mahi Complex, Near Fatehgunj Petrol Pump, Fatehgunj, Vadodara",₹350,9:30am – 11:45pm (Mon-Sun)
Spice House,"Chinese, North Indian",4.2,(377),4.1,(18.3K),Kendranagar,"Shop 10, Paramanand Complex, Parivar Char Rasta, Waghodia Dabhoi Ring Road, Kendranagar, Vadodara",₹450,11:30am – 11pm (Mon-Sun)
Sky Dine,"Chinese, North Indian, Italian, Lebanese, Mexican, Mughlai",3.9,(334),4.0,(134),Diwalipura,"2nd floor Zorba Complex, Near Reliance Mall, Akshar Chowk, Diwalipura, Vadodara",₹800,11:30am – 9:30pm (Mon-Sun)
The Baking Couture,"Cafe, Bakery",3.9,(254),4.0,(197),Alkapuri,"201-203, The Emerald, Near Chakli Circle, Race Course, Alkapuri, Vadodara",₹550,12:30pm – 10pm (Mon-Sun)
The Shimla Cafe,North Indian,3.9,(292),3.7,"(6,681)",Alkapuri,"Shop 10, Atlantis K10, Near Genda Circle, Sarabhai Road, Alkapuri, Vadodara",₹400,11:30am – 11pm (Mon-Sun)
Cakeolates by Shweta,Bakery,,,4.3,(897 Reviews),Karelibaug,"L5 Vaikunth 2 Bungalow, New Vip Road, Karelibaug, Vadodara",₹200,8am – 12midnight (Mon-Sun)
Goodies Cafeteria,"North Indian, Chinese, Fast Food",3.9,(276),3.6,"(8,639)",Sayajigunj,"Surya Palace Road, Near Post Office, Sayajigunj, Vadodara",₹700,11am – 1am (Mon-Sun)
Frankie Station,Fast Food,4.1,(339),4.2,"(7,604)",Karelibaug,"B-5, Veer Nagar Society, Opposite SBI Bank,Besides Jain Derasar,VIP Road, Karelibaug, Vadodara.",₹400,11am – 11pm (Mon-Sun)
Milton's South Corner,South Indian,4.3,(269),3.8,"(2,834)",Akota,"9 Pratham Plaza, Near The Gateway Hotel, Akota, Vadodara",₹500,"8am – 3pm, 6pm – 10:45pm (Mon-Sun)"
Mum's Cafe,"Cafe, Fast Food, Beverages, Burger, Desserts, Pizza, Sandwich",3.6,(206),3.7,(674),Alkapuri,"8, Anand Nagar Society, Opp. Mahadev Temple Lane, Jetalpur Road, Alkapuri, Vadodara",₹400,11am – 11pm (Mon-Sun)
Prem China Town-Chinese Fast Food,Chinese,4.0,(270),3.9,(12K),Alkapuri,"FF-107, Trivia opp, Natubhai Circle, Rascorse road, gotri , vadodara",₹400,12noon – 3am (Mon-Sun)
Maji & Sons Omlet,"Fast Food, Street Food",4.0,(247),4.2,"(7,252)",Akota,"Ashwamegh-3, Opposite Aditya Imaging Center, Mujmahuda, Akota, Vadodara",₹300,8am – 4am (Mon-Sun)
Baroda Bakers - The Cake Shoppe,Bakery,4.0,(176),4.1,"(2,348)",Fatehgunj,"21, Ground Floor ,The Emperor, Jayesh Colony, Fatehgunj Main Road, Fatehgunj, Vadodara",₹200,10am – 9pm (Mon-Sun)
Kabir Kitchen,"North Indian, Chinese",3.8,(336 Reviews),,,Alkapuri,"R.C. Dutt Road,Opposite Concord Building, Alkapuri, Vadodara",₹600,11am – 11pm (Mon-Sun)
Moneez,"Fast Food, Street Food",4.2,(271),3.8,"(4,284)",Alkapuri,"G-10, Shiv Shakti, Opp San's Sizzlers, Diagonal to Chhanppanbhog, Alkapuri, Vadodara",₹300,10am – 12midnight (Mon-Sun)
The Morsel,"North Indian, Chinese, Fast Food",4.1,(284),3.7,"(1,703)",Vadiwadi,"Atlantis Heritage, Sarabhai Main Road, Vadiwadi, Vadodara",₹800,"12noon – 3pm, 6pm – 11pm (Mon-Sun)"
The Pancake Story,"Desserts, Beverages",4.3,(278),3.9,"(2,004)",Akota,"B/2, Praful Society 2, Opposite D Mart Galleria Mall, Sir Sayajinagar Gruh Auditorium, Akota, Vadodara",₹350,11am – 12midnight (Mon-Sun)
Miloo Ki Biryani,Biryani,4.3,(311),4.3,"(3,203)",Diwalipura,"SB 3, Rajvi Tower, Beside UBE Company, OP Road, Diwalipura, Vadodara",₹300,7pm – 11pm (Mon-Sun)
Shree Kismat Kathiyawadi Restaurant,"North Indian, Gujarati",4.2,(221),4.1,"(7,674)",Gotri,"115, 116, Lotus Elite Building, Besides Collabera Office Building, Near Gotri Lake, Gotri, Vadodara",₹300,"11am – 4pm, 7pm – 12midnight (Mon-Sun)"
Millennium Restaurant,"Mughlai, North Indian",4.1,(278),4.0,"(4,576)",Fatehgunj,"Fatehgunj Main Road, Jayesh Colony, Opposite Methodist Church, Fatehgunj, Vadodara",₹500,12noon – 10pm (Mon-Sun)
Bombay Sandwich,Sandwich,4.0,(211),4.2,(13.2K),Kendranagar,"Opposite Shreeji Villa Complex, Shivam Bungalow, Waghodia, Kendranagar, Vadodara",₹250,8:30am – 12midnight (Mon-Sun)
Cheese & Chips,"Fast Food, Beverages",3.7,(163),3.7,"(2,079)",Sayajigunj,"Ground Floor - 5, Manubhai Tower, Opposite Faculty Of Arts, Sayajigunj, Vadodara",₹200,9am – 10:30pm (Mon-Sun)
The Chocolate Room,Cafe,4.0,(285),4.1,"(2,474)",Alkapuri,"1st Floor, Dreamland Building, Jetalpur Road, Alkapuri, Vadodara",₹500,10am – 10pm (Mon-Sun)
Taste Of Punjab,North Indian,3.6,(243),3.8,"(5,131)",Sayajigunj,"Gayatri Building, Dairy Den Circle, Sayajigunj, Vadodara",₹500,11:30am – 11:30pm (Mon-Sun)
Da Pizza Planet,Pizza,3.8,(229),3.9,"(5,731)",Akota,"102, Pancham Highstreet, Near Avishkar Complex, O.P Road, Akota, Vadodara",₹500,11am – 11pm (Mon-Sun)
Lalabhai Sevusal Raopurawala,Fast Food,4.1,(380),4.2,"(6,457)",Mandvi,"Raopura Tower, Char Rasta, Mandvi, Vadodara",₹150,8am – 9pm (Mon-Sun)
The Rotlo,Gujarati,4.2,(244),4.3,"(4,485)",Bhayli,"Vasna Bhayli Road, Near Calisto Complex, Bhayli, Vadodara",₹700,"11am – 3pm, 7pm – 11pm (Mon-Sun)"
The Sugar Fancies,"Bakery, Desserts",4.3,(227),4.4,"(1,194)",Alkapuri,"4-5, Corner Point, Jetalpur Road, Alkapuri, Vadodara",₹400,11am – 8pm (Mon-Sun)
Hot Bite,"Fast Food, North Indian",3.8,(177),4.2,"(3,285)",Sayajigunj,"Near Manubhai Towers, Opposite MS University, Sayajigunj, Vadodara",₹300,9am – 1am (Mon-Sun)
Ph Se Food,"North Indian, Continental, Burmese, Mexican, Italian",4.5,(852),3.9,(467),Vadiwadi,"103, 1st Floor, The Emrald Complex, Near Chakli Circle, Race Course Road, Vadiwadi, Vadodara",₹900,"12noon – 12midnight (Mon-Sat),11:30am – 11pm (Sun)"
Nylon Pav Bhaji,"Fast Food, South Indian, Chinese",4.0,(283),4.3,"(9,075)",Karelibaug,"Mahalaxmi Complex, Muktanand Karoli Bag, Karelibaug, Vadodara",₹400,12noon – 11pm (Mon-Sun)
Mahavir Ice Cream,"Ice Cream, Beverages",4.2,(315),4.2,(13.6K),Karelibaug,"GF 9, Vardan Complex, V I P Road Karelibaug, Near Amit Nagar Circle, Karelibaug, Vadodara",₹200,"10am – 11pm (Mon-Wed),10:30am – 11pm (Thu-Sun)"
White Potato,"North Indian, Bakery, South Indian, Continental, Fast Food, Chinese",3.7,(311),4.1,"(1,715)",Akota,"4, Rajnagar Society, Opposite Ajitnagar G.E.B. Road, Shernik Char Rasta, Akota, Vadodara",₹700,"11am – 3pm, 6pm – 10pm (Mon-Sun)"
Elysian: The Indo-Continental,"Italian, Cafe, Continental, Mediterranean, North Indian, Beverages",4.1,(244),4.1,(888),Gotri,"GF 7 Samanvay Zillion, Opposite Shaishav School, Gotri Road, Gotri,","₹1,000","12noon – 3pm, 7pm – 11pm (Mon-Sun)"
Yaadgar Omlet Center,"Street Food, Fast Food",4.4,(213),4.4,"(3,038)",Diwalipura,"Shop 143, Old Padra Road, Suryakiran Complex, Opposite Avishkar Complex, Sukrutinagar, Diwalipura, Vadodara",₹250,6pm – 10:30pm (Mon-Sun)
Santosh Pav Bhaji,Street Food,4.0,(282),4.0,"(8,336)",Subhanpura,"5-6, Shivalik Complex, Opposite Bharucha Hospital, Subhanpura, Vadodara",₹200,11am – 11pm (Mon-Sun)
Bendys Kitchen,Biryani,4.6,(243),4.4,"(1,725)",Gotri,"A-7, Vishakha Park, Opposite Nene Clinic, Rajesh Tower Road, Gotri, Vadodara",₹600,"11am – 3pm, 5pm – 10pm (Mon-Sun)"
Sasumaa's,Gujarati,4.1,(279),4.3,"(4,333)",Kendranagar,"GF 1/2/3 Vrundavan Mall, Near Vrundavan Crossing, Waghodia - Dabhoi Ring Road, Kendranagar, Vadodara",₹600,"11:30am – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
Bong Flavours,"Bengali, Chinese, North Indian",4.2,(275),3.7,"(6,268)",Gotri,"Shop 104 & 105, Nilambar Primero, Near Yes Bank, Vasna Gotri Road, Gotri, Vadodara",₹300,8am – 7pm (Mon-Sun)
Maji Sainik Omlet Centre,Fast Food,4.0,(242),4.1,"(4,623)",Akota,"Shop 14-16 Saptagiri Duplex, Akota, Vadodara",₹400,12noon – 11pm (Mon-Sun)
Chicken Mamna Center,"Fast Food, Biryani",4.0,(228),3.9,"(6,153)",Akota,"GF-1, Dulah Sheth, New Shopping Center, Akota Bridge, Akota, Vadodara",₹400,"11am – 3pm, 6pm – 1am (Mon-Sun)"
Rabdiwala Corner,"Desserts, Ice Cream",4.3,(228),4.4,"(2,568)",Karelibaug,"Q3, VIP Complex, Opposite Dash Continental Hotel,VIP Road, Karelibaug, Vadodara",₹150,6pm – 10:30pm (Mon-Sun)
Vishal Dalvada Centre,"Fast Food, Street Food",4.3,(266),4.3,"(6,015)",Alkapuri,"Race Course Circle, Opposite GEB, Alkapuri, Vadodara",₹100,"8am – 8pm (Mon-Sat),8am – 3pm (Sun)"
Ashish Restaurant,"North Indian, Chinese, Fast Food",4.1,(274),4.0,"(8,919)",Karelibaug,"Vrundavan Township, Tower-D, 1st Floor, Opposite Nageshwar Temple, Karelibaug, Vadodara",₹500,"11am – 3pm, 6:30pm – 11pm (Mon-Sun)"
Kulchas & More,North Indian,4.2,(180),4.2,"(2,988)","Inorbit Mall, Subhanpura","S22, 2nd Floor, Inorbit Mall, Subhanpura, Vadodara",₹300,11am – 11pm (Mon-Sun)
Sahyog Restaurant,"North Indian, Continental, Chinese",3.9,(240),4.2,"(6,095)",Fatehgunj,"Soha House, High Mask Circle, Fatehgunj Main Road, Vadodara",₹600,"11am – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)"
UBQ by Barbeque Nation,"North Indian, Mughlai, BBQ, Biryani",,,3.5,"(4,796 Reviews)",Vadiwadi,Delivery Only,₹550,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
99 Pancakes,"Desserts, Beverages, Cafe, Ice Cream, Healthy Food",4.2,(208),4.2,"(1,827)",Sayajigunj,"Shop 3, Amin Nivas, Opposite Sardar Patel Statue, Sayajigunj, Vadodara",₹300,12noon – 12midnight (Mon-Sun)
Surya Prakash,"North Indian, South Indian, Fast Food",3.9,(176),4.0,"(5,136)",Mandvi,"Raopura Main Road, Near Raopura Tower, Mandvi, Vadodara",₹400,8am – 11pm (Mon-Sun)
Pizza Bite,"Pizza, Italian, Beverages, Ice Cream",4.2,(439),3.3,"(3,052)",Karelibaug,"B-1, Kapilakunj Apartment, Near Water Tank, Karelibaug, Vadodara",₹300,9am – 4am (Mon-Sun)
New Swagat Corner,"North Indian, Gujarati",4.1,(236),4.1,"(6,274)",Nizampura,"B/31, Maruti Complex, Opportunity Swaminarayan nagar, Nizampura Main Road, Nizampura, Vadodara",₹200,11am – 8pm (Mon-Sun)
Madina Restaurant,"North Indian, Chinese",4.0,(250),4.2,"(3,169)",Diwalipura,"A-1, Amjad Park Society, Opposite SBI Bank, Tandalja-Vasna Road, Vadodara",₹400,11am – 11pm (Mon-Sun)
Pizza Village,"Fast Food, Italian, Pizza, Beverages, Ice Cream",,,3.6,"(2,954 Reviews)",Vadiwadi,"Flat 38, Block 7, MIG Flat, Opposite Indraprash Complex, Inox Road, Vadiwadi, Vadodara",₹200,9am – 4am (Mon-Sun)
Shakti The Sandwich Shop,Fast Food,4.1,(311),4.2,"(4,024)",Karelibaug,"Ground Floor-11, Bricklane 1964, L & T Circle, Opposite Ratri Bazar, Karelibaug, Vadodara",₹300,11:05am – 12midnight (Mon-Sun)
Raju Omlet Centre - ROC,"Street Food, Healthy Food, Fast Food",,,4.2,"(7,363 Reviews)",Karelibaug,"G2, Indraprasth Complex, VIP Road, Next To Urjita Hospital, Karelibaug, Vadodara",₹300,11am – 11pm (Mon-Sun)
Sheesh Mahal Multi Cuisine Restaurant,"Chinese, Desserts, Italian, North Indian, Pizza",4.2,(243),4.2,(807),Vadiwadi,"GF-08, Atlantis Heights, Shree Vikram Sarabhai Marg, Near Genda Circle, Vadiwadi, Vadodara","₹1,100","11am – 3pm, 7pm – 11pm (Mon-Sun)"
Aadi Ityaadi,"Gujarati, Rajasthani, Fast Food",3.5,(141),3.9,"(1,314)",Alkapuri,"1, Ground Floor, Bihari Appartments, Next ITC Welcome Hotel, Alkapuri, Vadodara",₹600,11am – 11pm (Mon-Sun)
Kaphi Pibama,"Cafe, Mexican, Italian, Fast Food",3.9,(238),3.7,(124),Alkapuri,"18-A, Nutan Bharat, SOC 002-Yogeshwar Apartment, Near Reliance Fresh, Alkapuri, Vadodara",₹500,11am – 10pm (Mon-Sun)
Subway,"Sandwich, Wraps, Fast Food",4.1,(344),3.9,"(8,162)",Karelibaug,"Ground Floor, Goverdhan Apartment, Near Utkarsh Petrol Pump, Muktanand, Karelibaug, Vadodara",₹200,9am – 10pm (Mon-Sun)
Amrit Food Junction,"North Indian, Biryani",,,3.9,"(7,523 Reviews)",Subhanpura,"Ground Floor 21, S-Square Mall, Subhanpura, Vadodara",₹350,"12:01am – 3am, 11am – 12midnight (Mon, Sun)..."
Kaka Ni Pav Bhaji,Fast Food,4.1,(289),4.1,"(4,564)",Karelibaug,"Amit Nagar Circle, Karelibaug, Vadodara",₹400,"12noon – 3:30pm, 6pm – 11pm (Mon-Sun)"
Blue Lagoon,"North Indian, Chinese",3.9,(282),4.0,"(4,670)",Akota,"Abhishek Complex, Akshar Chowk, Old Padra Road, Akota, Vadodara",₹700,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)"
Maji Sainik Egg Recipies,Fast Food,3.9,(163),4.2,"(6,286)",Akota,"GF-2, Dulah Sheth, New Shopping Center, Akota Bridge, Akota, Vadodara",₹300,11:30am – 10:30pm (Mon-Sun)
San Sizzler's,North Indian,3.7,(333 Reviews),,,Alkapuri,"83, Samaptrao Colony, Mangaldhara Complex, Alkapuri, Vadodara","₹1,000","Closed (Mon),6pm – 11pm (Tue-Sun)"
L'amour Patisserie,"Bakery, Desserts",4.3,(234 Reviews),,,Vadiwadi,"23/133, Ellora Park, Near Inox, Vadiwadi, Vadodara",₹400,12noon – 11pm (Mon-Sun)
The Grand Thakar,"Gujarati, North Indian, Chinese",4.3,(217),4.2,"(4,493)",Alkapuri,"3rd Floor, Shreem Shalini Mall, Opposite Concourd Building, RC Dutt Main Road, Alkapuri, Vadodara",₹700,"11am – 3:30pm, 7pm – 9pm (Mon-Sun)"
Flames Restaurant,"Mughlai, Chinese, Biryani",4.1,(260),4.1,"(8,561)",Diwalipura,"Opposite Patrakar Colony, Near JP Police Station, Tandalja, Old Padra Road, Diwalipura, Vadodara",₹600,6pm – 12midnight (Mon-Sun)
Kulcha.com,"North Indian, Fast Food, Beverages",4.0,(242),3.3,"(5,486)",Manjalpur,"1, Ground Floor, Sai Arcade Complex, Opposite Reliance Circle, Rajnikant Jani Marg, ShreePalli Society, Manjalpur, Vadodara",₹200,8am – 12midnight (Mon-Sun)
Cake Connection - Live Cake,"Bakery, Desserts",4.1,(223),4.3,"(1,729)",Manjalpur,"GF 7, Padmavati Complex, Near Suncity Circle, Manjalpur, Vadodara",₹200,9am – 8pm (Mon-Sun)
