Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,Open_time
Firangi Frankie,Fast Food,3.7,(101),4.3,"(1,324)",Gotri,"GF 20, Kishan Complex, Beside Apollo Pharmacy, Main Road, Gotri, Vadodara",₹100,11am – 10:30pm (Mon-Sun)
Avvento Sandwich Parlour,Fast Food,3.7,(60),4.2,"(2,686)",Karelibaug,"Desi Haat Food Court, Near Shiv Vatika, Warasiya Ring Road, Karelibaug, Vadodara",₹300,10am – 10:30pm (Mon-Sun)
Pangaea Resto,"North Indian, Italian, Lebanese, Mexican",3.2,(36),3.9,(93),Gotri,"Shop 16, 17 Gangotri Icon, Opposite Gokul Party Plot, Near Nilamber Circle, Gotri, Vadodara",₹500,"11:30am – 3pm, 6:30pm – 11pm (Mon-Sun)"
Shree Mahakali Sev Usal,Fast Food,3.6,(74),3.8,"(2,520)",Gotri,"SB 2, Ankur Avenue, Near Kishan Complex, Yash Complex Cross Road, Gotri Road, Vadodara",₹150,8am – 4pm (Mon-Sun)
Puff Corner,Cafe,2.8,(42),4.1,(922),Manjalpur,"G-40, Sarswati Complex, Manjalpur, Vadodara",₹300,10:30am – 10pm (Mon-Sun)
51 Rainbow Ice Creams,"Ice Cream, Desserts, Beverages",3.7,(63),3.2,(508),Fatehgunj,"Fatehgunj Bridge, Vadodara",₹300,12:15pm – 11:45pm (Mon-Sun)
Mirchi Spice,"Rajasthani, Chinese, Fast Food, Gujarati, North Indian",2.7,(65),3.6,"(1,981)",Kendranagar,95/B Aman society near ajwa road navijivan bus stop near urban health centre vadodara,₹500,"12midnight – 1am, 11am – 12midnight (Mon-Sun)"
Tummy Fillers,"Pizza, Burger, Sandwich, Fast Food",3.7,(54),3.5,"(1,287)",Diwalipura,"SF 11, Samanvay Status 2, Near Banco Product, Atladara Padra Road, Diwalipura, Vadodara",₹300,10:30am – 11:30pm (Mon-Sun)
Kreative Foods,"Roast Chicken, Rolls, Kebab",,,4.0,(976 Reviews),Sayajipura,"26, Amber Complex, Ajwa Road, Sayajipura, Vadodara",₹300,11am – 11pm (Mon-Sun)
Vijay Panjabi Khana,"North Indian, Fast Food, South Indian",3.3,(91),3.8,"(3,058)",Makarpura,"Wings Complex, Near Hanuman Tample, Makarpura Main Road, Makarpura, Vadodara",₹300,"11am – 3pm, 6pm – 11pm (Mon-Sun)"
The Barbeque Pizza,Pizza,,,3.6,(194 Reviews),Alkapuri,"101 , above samrat store behind bheemnath temple under jetalpur bridge.  Sayajigunj  vadodara",₹400,11am – 9:15pm (Mon-Sun)
The Square Meal- Ginger Hotel RCR,North Indian,3.7,(59),4.0,(174),Vadiwadi,"Ginger Hotel, Near Natubhai Circle, Race Course Road, Vadiwadi, Vadodara",₹600,8am – 11pm (Mon-Sun)
Al-Arabi Chicken Shawarma,Mughlai,3.8,(122 Reviews),,,Mandvi,"Near Sardamandir School, Machhipith, Mandvi, Vadodara",₹150,5pm – 11pm (Mon-Sun)
Crazy About China,Chinese,2.9,(55),3.4,"(1,050)","Seven Seas Mall, Fatehgunj","3rd Floor, Seven Seas Mall, Fatehgunj, Vadodara",₹400,11:30am – 10:30pm (Mon-Sun)
Punjabi Paratha House,North Indian,3.5,(63),4.3,"(1,963)",Nizampura,"A102, Shreenathji Height, Near GPS School, Beside GSFC Bridge, Chhani, Nizampura, Vadodara",₹250,9:30am – 11pm (Mon-Sun)
Krishna Restaurant,North Indian,3.2,(48),4.0,"(2,536)",Gotri,"High Tension Road, Near Amin Party Plot, Subhanpura, Gotri, Vadodara",₹200,9:30am – 10:45pm (Mon-Sun)
Jumpstreet Cafe,"Italian, Mexican, Chinese",3.8,(68),3.9,(316),Akota,"1-2, Rajvi Complex, Opposite Akota Garden, Akota, Vadodara",₹500,7:30am – 11pm (Mon-Sun)
Nirmal Chhole Kulche,Street Food,3.9,(88),4.1,(509),Diwalipura,"24A, Makrand Desai Road, Kalyan Nagar, Diwalipura, Vadodara",₹150,6pm – 11pm (Mon-Sun)
Sudama Kathiyawadi Restaurant,Gujarati,4.0,(113 Reviews),,,Nizampura,"FF-29, Delux Society, Near Ratnakar Dresses, Nizampura, Vadodara",₹200,"11:30am – 2:30pm, 7:30pm – 10:30pm (Mon-Sun)"
Gokulesh Ice Cream Parlour,"Ice Cream, Fast Food, Pizza",3.6,(64),4.3,"(2,633)",Kendranagar,"Shop 7, Sukhdham Residency, Waghodiya Dabhoi Ring Road, Opposite Tirth Tenament, Kendranagar, Vadodara",₹200,8am – 3am (Mon-Sun)
Kolkata Street Kitchen,"Bengali, North Indian, Fast Food, Biryani",3.8,(50),4.0,"(1,375)",Fatehgunj,"104 Anand House, Phase 4, Mandir marg. Near EME Circle. Fatehgunj 390002",₹250,8am – 1am (Mon-Sun)
Ashirwad Restaurant,North Indian,3.8,(113 Reviews),,,Nizampura,"1st Floor, Sakar Complex, Near Super Bakery, Sardar Estate, New VIP Road",₹500,"11am – 3pm, 6:30pm – 10:30pm (Mon-Sun)"
Bharkadevi Ice Cream,"Desserts, Beverages",3.8,(81),4.1,"(2,767)",Kendranagar,"Ground Floor 15, Shreeji Villa, Besides D Mart, Waghodia Road, Kendranagar, Vadodara",₹200,8am – 1am (Mon-Sun)
Brew13,"Cafe, Fast Food, Beverages",3.8,(67 Reviews),,,Akota,"6-A, Rajpath Society, Old Padra Road, Akota, Vadodara",₹500,9am – 10pm (Mon-Sun)
Talk Of The Town,"Mughlai, North Indian, Biryani",,,4.3,(568 Reviews),Manjalpur,"C 31, Viral Park Society, GIDC, Vadsar Road, Manjalpur, Vadodara",₹300,5pm – 12midnight (Mon-Sun)
Back to Kerala,South Indian,3.7,(103),4.1,(140),Gotri,"12, 13 & 14, 1st Floor, Darshanam Arise, Near Gotri Watertank, Gotri, Vadodara",₹350,"11am – 3pm, 6pm – 11:30pm (Mon-Sun)"
Golgappa Street,Street Food,2.9,(73),3.9,(855),Manjalpur,"GF - 7, Aangan Tower, Near Bhavans School, Teen Rasta, Makarpura Road, Manjalpur, Vadodara",₹400,11am – 11pm (Mon-Sun)
Govinda's,Gujarati,3.9,(112 Reviews),,,Gotri,"Iscon, Hare Krishna Land, Gotri Road",₹600,"11am – 3pm, 7pm – 10pm (Mon-Sun)"
Ellora Milk Centre,Beverages,,,4.1,(573 Reviews),Subhanpura,"1, Ellora Park Shopping Centre, Ellora Park, Subhanpura road, Subhanpura, Vadodara",₹200,9am – 8:15pm (Mon-Sun)
Cafe Appetito,"Cafe, Fast Food, Beverages",3.4,(66),4.3,(868),Akota,"Zex House, Opposite Galleria Mall, Shankheshwar Parshwanath Marg, Akota, Vadodara",₹400,11am – 2:30am (Mon-Sun)
Nylon Pav Bhaji,Fast Food,3.7,(66),4.1,"(1,815)",Manjalpur,"Dorado Complex, G3, Kubereshwar Mahadev Marg, Shree Palli society, Manjalpur, Vadodara",₹250,5pm – 9pm (Mon-Sun)
Dal Roti Food Service,"Gujarati, Maharashtrian",3.8,(60),3.6,(868),Karelibaug,"Khubharwada-1, Salatwada, Karelibaug, Vadodara",₹200,8am – 9pm (Mon-Sun)
Champaklal Pavbhaji,Street Food,3.6,(60),4.1,"(1,203)",Subhanpura,"C 81, Nutan Maheshwari Nagar Society, Near Bharucha Hospital, Subhanpura, Vadodara",₹200,"11am – 3pm, 5pm – 11pm (Mon-Sun)"
